Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760878061573,29879.00114440918,1300,2,0.85625,43405.54528808594,1300,2,0.85625,34982.29002380371,1300,2,0.85625,31105.108917236328,3250,1,0.85625,33976.02420043945,1300,2,0.85625,45102.73783874512,1300,2,0.85625,38794.323165893555,3250,1,0.85625,37115.0467376709,3250,1,0.85625,250027.79946899414,4840,1931,4841,1654,400,4840,1935,1632,400,1932,2020,2252,400,1270,400,1682,2.3809523582458496,11.627907752990723,4.651162624359131,2.3809523582458496,4.651162624359131,4.651162624359131,4.651162624359131,2.3809523582458496,2.3809523582458496,2.3255813121795654,2.3809523582458496,4.761904716491699,6.976744651794434,4.651162624359131,4.651162624359131,4.651162624359131,32899801088,8589930496,8844107776,1825267712
199,1760878061573,29879.00115966797,1300,2,0.7375,43405.54537963867,2166.666666666667,2,0.7375,34982.2900390625,1300,2,0.7375,31105.10935974121,3250,1,0.7375,33976.02491760254,3250,1,0.7375,45102.73783874512,1300,2,0.7375,38794.3243560791,3250,1,0.7375,37115.04716491699,3250,1,0.7375,250027.8070526123,4840,1931,4841,1654,400,4840,1935,1632,400,1932,2020,2252,400,1270,400,1682,2.3809523582458496,11.627907752990723,4.651162624359131,2.3809523582458496,4.651162624359131,4.651162624359131,4.651162624359131,2.3809523582458496,2.3809523582458496,2.3255813121795654,2.3809523582458496,4.761904716491699,6.976744651794434,4.651162624359131,4.651162624359131,4.651162624359131,32899801088,8589930496,8844107776,1825267712
200,1760878061773,29879.080123901367,4825,0,0.23124999999999996,43405.6427154541,4825,0,0.23124999999999996,34982.39547729492,1930,2,0.23124999999999996,31105.198623657227,1930,2,0.23124999999999996,33976.031341552734,1930,2,0.23124999999999996,45104.114013671875,4825,0,0.23124999999999996,38794.42776489258,4825,0,0.23124999999999996,37115.20204162598,1930,2,0.23124999999999996,250032.6874847412,4840,1931,4841,1654,400,4840,1935,1632,400,1932,2020,2252,400,1270,400,1682,4.761904716491699,0,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,90,0,5.263157844543457,4.761904716491699,4.761904716491699,32899801088,8589930496,8860450816,1825267712
1,1760878061974,29879.099731445313,3250,1,1.01875,43405.66342163086,3250,1,1.01875,34982.42091369629,1300,2,1.01875,31105.199752807617,1300,2,1.01875,33976.06687927246,1300,2,1.01875,45104.185150146484,1300,2,0.85625,38794.467864990234,1300,2,0.85625,37115.21145629883,1300,2,0.85625,250033.54508972168,4840,1931,4841,1654,400,4840,1935,1632,400,1932,2020,2252,400,1270,400,1682,0,0,0,0,0,9.523809432983398,0,0,0,0,0,0,9.090909004211426,0,0,0,32899801088,8589930496,8823914496,1825267712
