Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760878046738,29875.595596313477,1300,2,0.73125,43374.89840698242,3250,1,0.73125,34977.62796020508,1300,2,0.73125,31101.849212646484,1300,2,0.73125,33972.57974243164,1300,2,0.73125,45074.520095825195,1300,2,0.73125,38790.17808532715,1300,2,0.73125,37111.41369628906,1300,2,0.73125,249836.57861328125,4840,1936,1936,1936,1373,3980,1304,1469,971,968,1936,2151,3149,1936,1764,2162,2.857142925262451,11.428571701049805,2.941176414489746,2.857142925262451,5.714285850524902,2.941176414489746,5.714285850524902,2.857142925262451,2.857142925262451,5.555555820465088,5.555555820465088,5.555555820465088,2.941176414489746,2.857142925262451,2.857142925262451,2.857142925262451,32899801088,8589930496,8781615104,1825267712
199,1760878046738,29875.59767150879,3250,1,0.73125,43374.90028381348,3250,1,0.73125,34977.62797546387,1300,2,0.73125,31101.849212646484,1300,2,0.73125,33972.580627441406,3250,1,0.73125,45074.520111083984,1300,2,0.73125,38790.17810058594,1300,2,0.73125,37111.41371154785,3250,1,0.73125,249836.58668518066,4840,1936,1936,1936,1373,3980,1304,1469,971,968,1936,2151,3149,1936,1764,2162,2.857142925262451,11.428571701049805,2.941176414489746,2.857142925262451,5.714285850524902,2.941176414489746,5.714285850524902,2.857142925262451,2.857142925262451,5.555555820465088,5.555555820465088,5.555555820465088,2.941176414489746,2.857142925262451,2.857142925262451,2.857142925262451,32899801088,8589930496,8781615104,1825267712
1,1760878046938,29875.64241027832,1300,2,0.9625,43375.89926147461,3250,1,0.9625,34977.8211517334,1300,2,0.9625,31101.854537963867,1300,2,0.9625,33972.59533691406,3250,1,0.9625,45074.70104980469,1300,2,0.9625,38790.22839355469,1300,2,0.9625,37111.426528930664,3250,1,0.9625,249839.88960266113,4840,1936,1936,1936,1373,3980,1304,1469,971,968,1936,2151,3149,1936,1764,2162,4.761904716491699,63.15789031982422,0,0,4.761904716491699,0,0,0,15.000000953674316,0,0,10,9.090909004211426,0,4.761904716491699,5,32899801088,8589930496,8789852160,1825267712
