Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877394347,29724.625915527344,1300,2,0.85,42140.38104248047,1300,2,0.85,34746.65051269531,1300,2,0.85,30948.462173461914,1300,2,0.85,33800.62567138672,1300,2,0.85,43759.711975097656,3250,2,0.85,38569.6540222168,1300,2,0.7375,36912.55604553223,3250,1,0.7375,241207.56860351563,400,3173,1936,400,2150,2768,1375,1433,1935,4840,2157,1880,1716,1909,1936,1297,4.761904716491699,9.756096839904785,2.5,4.878048419952393,2.4390242099761963,7.142857551574707,2.4390242099761963,4.761904716491699,2.3809523582458496,2.3809523582458496,4.761904716491699,4.761904716491699,4.878048419952393,4.761904716491699,2.5,4.761904716491699,32899801088,8589930496,8703860736,1825325056
199,1760877394347,29724.627014160156,3250,1,0.7375,42140.38104248047,1300,2,0.7375,34746.6505279541,1300,2,0.7375,30948.462188720703,1300,2,0.7375,33800.6257019043,3250,1,0.73125,43759.712478637695,3250,1,0.73125,38569.654037475586,1300,2,0.73125,36912.557861328125,3250,1,0.73125,241207.57514953613,400,3173,1936,400,2150,2768,1375,1433,1935,4840,2157,1880,1716,1909,1936,1297,4.761904716491699,9.756096839904785,2.5,4.878048419952393,2.4390242099761963,7.142857551574707,2.4390242099761963,4.761904716491699,2.3809523582458496,2.3809523582458496,4.761904716491699,4.761904716491699,4.878048419952393,4.761904716491699,2.5,4.761904716491699,32899801088,8589930496,8703860736,1825325056
1,1760877394547,29724.909454345703,3250,1,0.86875,42140.67491149902,1300,2,0.86875,34746.94026184082,2166.666666666667,2,0.86875,30948.737411499023,1300,2,0.86875,33800.905685424805,1300,2,0.86875,43760.29830932617,1300,2,0.86875,38569.94332885742,2166.666666666667,2,0.86875,36912.839920043945,3250,1,0.86875,241211.48960876465,400,3173,1936,400,2150,2768,1375,1433,1935,4840,2157,1880,1716,1909,1936,1297,25,25,25,25,28.571430206298828,38.095237731933594,31.81818199157715,25,30.000001907348633,30.000001907348633,26.3157901763916,31.57894515991211,25,30.000001907348633,28.571430206298828,30.000001907348633,32899801088,8589930496,8713715712,1825325056
