Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877528134,29755.575973510742,1300,2,0.7375,42415.851150512695,3250,1,0.7375,34793.14198303223,1300,2,0.7375,30979.608520507813,1300,2,0.7375,33835.720611572266,1300,2,0.7375,44026.47123718262,3250,1,0.7375,38614.82287597656,1300,2,0.7375,36955.05860900879,3250,1,0.7375,243027.13479614258,4838,1410,2151,1839,1041,2397,400,2154,1857,400,4841,1935,2357,2151,400,1935,5.882352828979492,3.0303030014038086,5.882352828979492,3.0303030014038086,3.0303030014038086,5.882352828979492,0,3.0303030014038086,5.882352828979492,5.882352828979492,6.25,11.764705657958984,3.0303030014038086,8.571429252624512,3.0303030014038086,3.0303030014038086,32899801088,8589930496,8762617856,1825271808
199,1760877528135,29755.57745361328,3250,1,0.73125,42415.852615356445,3250,1,0.73125,34793.141998291016,1300,2,0.73125,30979.609298706055,1300,2,0.73125,33835.720611572266,1300,2,0.73125,44026.47233581543,1300,2,0.73125,38614.82287597656,1300,2,0.73125,36955.06036376953,3250,1,0.73125,243027.14376831055,4838,1410,2151,1839,1041,2397,400,2154,1857,400,4841,1935,2357,2151,400,1935,5.882352828979492,3.0303030014038086,5.882352828979492,3.0303030014038086,3.0303030014038086,5.882352828979492,0,3.0303030014038086,5.882352828979492,5.882352828979492,6.25,11.764705657958984,3.0303030014038086,8.571429252624512,3.0303030014038086,3.0303030014038086,32899801088,8589930496,8762990592,1825271808
1,1760877528335,29755.64128112793,1300,2,0.8625,42416.014556884766,3250,1,0.8625,34793.19253540039,3250,1,0.8625,30979.623291015625,3250,1,0.8625,33835.728744506836,1300,2,0.8625,44026.52453613281,3250,1,0.8625,38614.85527038574,2166.666666666667,2,0.8625,36955.10334777832,3250,1,0.8625,243028.64393615723,4838,1410,2151,1839,1041,2397,400,2154,1857,400,4841,1935,2357,2151,400,1935,5,15.000000953674316,0,0,4.761904716491699,0,0,4.761904716491699,0,4.545454502105713,0,0,0,0,0,9.523809432983398,32899801088,8589930496,8763138048,1825271808
