__run_id,__done,_compiler,_benchmark,execution_time,cpu_usage,memory_usage,energy_consumption
run_6_repetition_3,DONE,pure_python,quick_sort,1.601,6.566,8522479.6,37.041
run_12_repetition_4,DONE,cython,dense_matrix,0.2,13.798,8502936.0,4.125
run_2_repetition_16,DONE,pure_python,dense_matrix,0.2,13.325,8515018.667,3.919
run_9_repetition_11,DONE,pure_python,nbody,3.802,7.325,8547600.952,95.572
run_8_repetition_16,DONE,pure_python,sieve,0.401,5.42,8523573.0,8.825
run_3_repetition_5,DONE,pure_python,fft,0.201,12.237,8502294.667,3.563
run_24_repetition_0,DONE,swig,json_bench,1.401,6.514,8540243.556,29.886
run_7_repetition_10,DONE,pure_python,regex,0.402,4.765,8509859.0,7.096
run_5_repetition_13,DONE,pure_python,k_means,3.802,6.85,8515890.667,95.795
run_23_repetition_4,DONE,swig,fft,0.2,11.192,8494445.333,4.531
run_5_repetition_0,DONE,pure_python,k_means,4.002,7.433,8515726.545,101.505
run_13_repetition_8,DONE,cython,fft,0.201,12.711,8490673.333,3.948
run_13_repetition_12,DONE,cython,fft,0.201,15.596,8503396.0,3.966
run_11_repetition_19,DONE,cython,convex,0.402,12.897,8516005.0,9.135
run_27_repetition_13,DONE,swig,regex,0.201,4.673,8541404.0,3.641
run_3_repetition_6,DONE,pure_python,fft,0.201,16.809,8513114.667,3.766
run_11_repetition_7,DONE,cython,convex,0.401,12.683,8523749.0,9.224
run_7_repetition_0,DONE,pure_python,regex,0.401,4.432,8544408.0,7.235
run_29_repetition_5,DONE,swig,nbody,1.601,6.413,8519999.6,38.045
run_3_repetition_1,DONE,pure_python,fft,0.2,12.389,8503072.0,3.921
run_28_repetition_12,DONE,swig,sieve,0.2,6.649,8509209.333,1.974
run_1_repetition_12,DONE,pure_python,convex,4.202,7.497,8531023.826,108.692
run_8_repetition_12,DONE,pure_python,sieve,0.601,6.138,8533547.2,10.635
run_27_repetition_18,DONE,swig,regex,0.201,7.911,8532273.333,7.138
run_11_repetition_2,DONE,cython,convex,0.4,12.833,8544232.0,9.334
run_23_repetition_7,DONE,swig,fft,0.201,12.873,8523617.333,3.714
run_15_repetition_9,DONE,cython,k_means,0.201,7.258,8523829.333,3.729
run_1_repetition_13,DONE,pure_python,convex,4.402,7.338,8536081.167,111.956
run_25_repetition_13,DONE,swig,k_means,0.2,4.768,8505772.0,3.399
run_25_repetition_6,DONE,swig,k_means,0.201,5.532,8502860.0,3.536
run_3_repetition_7,DONE,pure_python,fft,0.2,12.379,8508526.667,3.918
run_21_repetition_17,DONE,swig,convex,0.401,4.602,8527159.0,7.421
run_17_repetition_14,DONE,cython,regex,0.401,4.926,8573115.0,7.346
run_22_repetition_0,DONE,swig,dense_matrix,0.401,13.313,8582541.0,11.955
run_4_repetition_5,DONE,pure_python,json_bench,1.801,6.848,8598796.364,39.86
run_7_repetition_12,DONE,pure_python,regex,0.401,4.854,8531709.0,7.34
run_12_repetition_5,DONE,cython,dense_matrix,0.2,13.287,8519860.0,4.059
run_25_repetition_5,DONE,swig,k_means,0.201,4.919,8503125.333,3.486
