Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877919252,29844.961212158203,1300,2,0.74375,43139.307373046875,1300,2,0.74375,34929.806396484375,1300,2,0.74375,31070.569915771484,1300,2,0.74375,33935.52470397949,1300,2,0.74375,44833.012268066406,1300,2,0.74375,38745.80682373047,3250,1,0.74375,37072.362243652344,3250,1,0.74375,248170.2688446045,400,1682,2163,400,577,2218,400,400,2218,4118,1444,2164,1846,3036,4719,400,3.125,3.125,6.060606002807617,6.060606002807617,3.0303030014038086,6.060606002807617,6.060606002807617,3.125,3.0303030014038086,5.882352828979492,5.882352828979492,6.25,9.090909004211426,3.125,3.125,5.882352828979492,32899801088,8589930496,8773341184,1825267712
199,1760877919252,29844.961471557617,1300,2,0.7375,43139.307388305664,1300,2,0.7375,34929.806411743164,1300,2,0.7375,31070.569931030273,1300,2,0.7375,33935.52471923828,1300,2,0.7375,44833.012268066406,1300,2,0.7375,38745.80871582031,3250,1,0.7375,37072.36328125,3250,1,0.7375,248170.2770690918,400,1682,2163,400,577,2218,400,400,2218,4118,1444,2164,1846,3036,4719,400,3.125,3.125,6.060606002807617,6.060606002807617,3.0303030014038086,6.060606002807617,6.060606002807617,3.125,3.0303030014038086,5.882352828979492,5.882352828979492,6.25,9.090909004211426,3.125,3.125,5.882352828979492,32899801088,8589930496,8773341184,1825267712
1,1760877919452,29844.968872070313,1300,2,0.775,43139.486389160156,1300,2,0.775,34929.84533691406,1300,2,0.775,31070.595611572266,2166.666666666667,2,0.775,33935.529846191406,1300,2,0.775,44833.07832336426,2166.666666666667,2,0.775,38745.84362792969,3250,1,0.775,37072.39514160156,3250,1,0.775,248172.0065460205,400,1682,2163,400,577,2218,400,400,2218,4118,1444,2164,1846,3036,4719,400,0,19.047618865966797,0,0,0,0,0,9.090909004211426,4.761904716491699,4.761904716491699,0,0,4.761904716491699,9.090909004211426,0,0,32899801088,8589930496,8771698688,1825267712
