Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877930606,29847.26417541504,1300,2,0.85,43154.828842163086,1300,2,0.85,34933.24864196777,1300,2,0.85,31072.811752319336,1300,2,0.85,33938.270095825195,1300,2,0.85,44855.638763427734,1300,2,0.85,38749.39221191406,1300,2,0.7375,37075.54180908203,3250,1,0.7375,248302.74754333496,1934,2431,1333,400,400,1973,1839,1604,1935,4383,4840,3239,2150,4108,400,2151,2.3809523582458496,4.761904716491699,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.3809523582458496,4.651162624359131,2.3809523582458496,4.651162624359131,2.3809523582458496,7.317072868347168,4.761904716491699,6.976744651794434,0,6.976744651794434,32899801088,8589930496,8785379328,1825267712
199,1760877930606,29847.268524169922,3250,1,0.7375,43154.82926940918,1300,2,0.7375,34933.24864196777,1300,2,0.7375,31072.811752319336,1300,2,0.7375,33938.270111083984,1300,2,0.7375,44855.63877868652,3250,1,0.7375,38749.39224243164,3250,1,0.7375,37075.54374694824,3250,1,0.7375,248302.75588989258,1934,2431,1333,400,400,1973,1839,1604,1935,4383,4840,3239,2150,4108,400,2151,2.3809523582458496,4.761904716491699,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.3809523582458496,4.651162624359131,2.3809523582458496,4.651162624359131,2.3809523582458496,7.317072868347168,4.761904716491699,6.976744651794434,0,6.976744651794434,32899801088,8589930496,8785379328,1825267712
1,1760877930806,29847.822540283203,4800,0,0.25624999999999987,43155.56898498535,4800,0,0.25624999999999987,34933.87924194336,2400,1,0.25624999999999987,31073.473922729492,2400,1,0.25624999999999987,33939.04214477539,2400,1,0.25624999999999987,44856.35154724121,4800,0,0.25624999999999987,38750.03175354004,4800,0,0.25624999999999987,37076.382415771484,2400,1,0.25624999999999987,248309.79336547852,1934,2431,1333,400,400,1973,1839,1604,1935,4383,4840,3239,2150,4108,400,2151,42.105262756347656,50,42.105262756347656,47.619049072265625,50,50,47.619049072265625,45,42.85714340209961,40,40,40,40,36.842105865478516,38.095237731933594,40,32899801088,8589930496,8791879680,1825267712
