Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877878662,29834.55061340332,1300,2,0.7375,43036.33020019531,1300,2,0.7375,34915.51934814453,1300,2,0.7375,31060.77195739746,1300,2,0.7375,33925.4303894043,1300,2,0.7375,44761.94485473633,1300,2,0.7375,38732.80546569824,3250,1,0.7375,37060.25303649902,3250,1,0.7375,247590.85647583008,400,631,1377,4402,1481,2265,2265,400,400,1338,1249,869,2310,1916,4814,570,4.651162624359131,9.090909004211426,2.3809523582458496,2.3809523582458496,2.3255813121795654,4.761904716491699,2.3809523582458496,2.3255813121795654,2.3255813121795654,2.3809523582458496,2.3255813121795654,4.761904716491699,4.651162624359131,4.651162624359131,2.3809523582458496,2.3809523582458496,32899801088,8589930496,8805146624,1825267712
199,1760877878662,29834.55062866211,1300,2,0.7375,43036.33020019531,1300,2,0.7375,34915.51937866211,3250,1,0.7375,31060.77197265625,1300,2,0.7375,33925.430435180664,3250,1,0.7375,44761.94486999512,1300,2,0.7375,38732.80740356445,3250,1,0.7375,37060.254791259766,3250,1,0.7375,247590.8648071289,400,631,1377,4402,1481,2265,2265,400,400,1338,1249,869,2310,1916,4814,570,4.651162624359131,9.090909004211426,2.3809523582458496,2.3809523582458496,2.3255813121795654,4.761904716491699,2.3809523582458496,2.3255813121795654,2.3255813121795654,2.3809523582458496,2.3255813121795654,4.761904716491699,4.651162624359131,4.651162624359131,2.3809523582458496,2.3809523582458496,32899801088,8589930496,8805146624,1825267712
199,1760877878862,29834.91569519043,1930,2,0.25,43038.206787109375,4825,0,0.25,34915.95291137695,1930,2,0.25,31061.152465820313,1930,2,0.25,33925.796798706055,4825,0,0.25,44762.44387817383,1930,2,0.25,38733.194412231445,4825,0,0.25,37060.73452758789,4825,0,0.25,247598.3098602295,400,631,1377,4402,1481,2265,2265,400,400,1338,1249,869,2310,1916,4814,570,35,94.73684692382813,35,35,35,35,35,40,35,35,35,40,40,35,35,33.333335876464844,32899801088,8589930496,8809263104,1825267712
1,1760877879096,29834.93310546875,1300,2,0.79375,43040.3486328125,1300,2,0.79375,34915.999084472656,1300,2,0.79375,31061.196746826172,1300,2,0.79375,33925.80564880371,1300,2,0.79375,44762.50671386719,1300,2,0.85,38733.26809692383,3250,1,0.85,37060.79489135742,3250,1,0.85,247602.7890625,400,631,1377,4402,1481,2265,2265,400,400,1338,1249,869,2310,1916,4814,570,0,17.39130401611328,0,0,0,0,0,0,0,4.1666669845581055,0,4.1666669845581055,0,4.1666669845581055,0,65.21739196777344,32899801088,8589930496,8750596096,1825267712
