Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877805781,29818.914154052734,4825,0,0.56875,42896.96960449219,2144.4444444444443,2,0.56875,34890.96875,4825,0,0.56875,31044.81672668457,2144.4444444444443,2,0.56875,33906.49803161621,2144.4444444444443,2,0.56875,44605.520736694336,4825,0,0.56875,38709.22285461426,2144.4444444444443,2,0.56875,37038.497955322266,4825,0,0.56875,246603.35321044922,1928,2140,4814,400,400,4816,2140,400,4816,4815,1926,2954,2177,2140,400,400,5,14.634145736694336,4.878048419952393,4.761904716491699,9.756096839904785,9.756096839904785,12.195121765136719,7.317072868347168,12.5,14.634145736694336,7.317072868347168,17.5,7.317072868347168,9.756096839904785,7.317072868347168,9.756096839904785,32899801088,8589930496,8774205440,1825267712
199,1760877805782,29818.920959472656,4825,0,0.2437499999999999,42896.97019958496,2144.4444444444443,2,0.2437499999999999,34890.96875,2144.4444444444443,2,0.2437499999999999,31044.81672668457,4825,0,0.2437499999999999,33906.49803161621,2144.4444444444443,2,0.2437499999999999,44605.520736694336,4825,0,0.2437499999999999,38709.22285461426,2144.4444444444443,2,0.2437499999999999,37038.497955322266,2144.4444444444443,2,0.2437499999999999,246603.35321044922,1928,2140,4814,400,400,4816,2140,400,4816,4815,1926,2954,2177,2140,400,400,5,14.634145736694336,4.878048419952393,4.761904716491699,9.756096839904785,9.756096839904785,12.195121765136719,7.317072868347168,12.5,14.634145736694336,7.317072868347168,17.5,7.317072868347168,9.756096839904785,7.317072868347168,9.756096839904785,32899801088,8589930496,8774205440,1825267712
199,1760877805982,29819.032516479492,1920,2,0.26249999999999996,42897.85301208496,4800,0,0.26249999999999996,34891.09832763672,1920,2,0.26249999999999996,31044.866317749023,1920,2,0.26249999999999996,33906.55926513672,1910.0000000000002,2,0.26249999999999996,44606.421127319336,4775,2,0.26249999999999996,38709.29740905762,4775,0,0.26249999999999996,37038.60301208496,1910.0000000000002,2,0.26249999999999996,246608.94775390625,1928,2140,4814,400,400,4816,2140,400,4816,4815,1926,2954,2177,2140,400,400,9.090909004211426,28.571430206298828,0,0,0,10,0,0,4.761904716491699,0,0,45,4.761904716491699,0,0,21.052631378173828,32899801088,8589930496,8784781312,1825267712
1,1760877806182,29819.059692382813,1300,2,0.9625,42898.73028564453,1300,2,0.9625,34891.137603759766,1300,2,0.9625,31044.8828125,1300,2,0.9625,33906.566467285156,1300,2,0.9625,44606.46092224121,3250,1,0.9625,38709.330017089844,1300,2,0.9625,37038.62481689453,1300,2,0.875,246611.41520690918,1928,2140,4814,400,400,4816,2140,400,4816,4815,1926,2954,2177,2140,400,400,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,55,32899801088,8589930496,8757551104,1825267712
