Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877318003,29705.78012084961,1300,2,0.8,42030.33744812012,3250,1,0.8,34719.1923828125,1300,2,0.8,30928.378295898438,1300,2,0.8,33780.391662597656,1300,2,0.8,43522.63412475586,1300,2,0.8,38542.43907165527,1300,2,0.8,36889.79739379883,1300,2,0.8,240105.82383728027,1936,1839,2151,4840,1081,3110,1935,400,400,2134,1936,2150,1936,1936,400,1953,4.761904716491699,9.523809432983398,2.4390242099761963,2.4390242099761963,4.761904716491699,2.3809523582458496,4.761904716491699,4.651162624359131,2.4390242099761963,4.761904716491699,2.4390242099761963,6.976744651794434,4.761904716491699,2.4390242099761963,2.4390242099761963,2.3809523582458496,32899801088,8589930496,8695201792,1825325056
199,1760877318003,29705.780685424805,3250,1,0.7375,42030.33906555176,3250,1,0.7375,34719.1923828125,1300,2,0.7375,30928.378662109375,1300,2,0.7375,33780.391677856445,1300,2,0.7375,43522.63412475586,3250,1,0.7375,38542.43908691406,1300,2,0.7375,36889.79739379883,1300,2,0.7375,240105.83030700684,1936,1839,2151,4840,1081,3110,1935,400,400,2134,1936,2150,1936,1936,400,1953,4.761904716491699,9.523809432983398,2.4390242099761963,2.4390242099761963,4.761904716491699,2.3809523582458496,4.761904716491699,4.651162624359131,2.4390242099761963,4.761904716491699,2.4390242099761963,6.976744651794434,4.761904716491699,2.4390242099761963,2.4390242099761963,2.3809523582458496,32899801088,8589930496,8695201792,1825325056
1,1760877318204,29705.799362182617,1939.9999999999998,2,0.9625,42030.48518371582,4850,0,0.9625,34719.2751159668,1939.9999999999998,2,0.9625,30928.44172668457,1939.9999999999998,2,0.9625,33780.41519165039,4850,0,0.9625,43523.967514038086,1939.9999999999998,2,0.9625,38542.558044433594,1939.9999999999998,2,0.9625,36889.884048461914,1939.9999999999998,2,0.9625,240110.50717163086,1936,1839,2151,4840,1081,3110,1935,400,400,2134,1936,2150,1936,1936,400,1953,0,10,4.761904716491699,0,0,5,0,0,0,0,0,95,5,4.761904716491699,0,0,32899801088,8589930496,8748261376,1825325056
