Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877714506,29798.2215423584,1300,2,0.85625,42710.65885925293,3250,1,0.85625,34858.8772277832,1300,2,0.85625,31023.353546142578,1300,2,0.85625,33883.301834106445,1300,2,0.85625,44437.32582092285,1300,2,0.85625,38678.26916503906,1300,2,0.85625,37011.524810791016,1300,2,0.73125,245414.20825195313,1935,2150,1936,4840,3240,400,400,1957,400,400,1327,1938,2788,1326,400,2151,2.777777910232544,5.714285850524902,5.405405521392822,2.777777910232544,2.777777910232544,5.405405521392822,8.333333969116211,2.777777910232544,5.555555820465088,5.555555820465088,5.555555820465088,2.941176414489746,5.555555820465088,2.857142925262451,5.405405521392822,5.555555820465088,32899801088,8589930496,8799522816,1825267712
199,1760877714506,29798.221572875977,1300,2,0.73125,42710.66206359863,3250,1,0.73125,34858.8772277832,1300,2,0.73125,31023.353561401367,1300,2,0.73125,33883.301849365234,3250,1,0.73125,44437.32661437988,1300,2,0.73125,38678.26918029785,3250,2,0.73125,37011.524826049805,1300,2,0.73125,245414.21603393555,1935,2150,1936,4840,3240,400,400,1957,400,400,1327,1938,2788,1326,400,2151,2.777777910232544,5.714285850524902,5.405405521392822,2.777777910232544,2.777777910232544,5.405405521392822,8.333333969116211,2.777777910232544,5.555555820465088,5.555555820465088,5.555555820465088,2.941176414489746,5.555555820465088,2.857142925262451,5.405405521392822,5.555555820465088,32899801088,8589930496,8799522816,1825267712
199,1760877714706,29798.294631958008,1900,2,0.28749999999999987,42710.791748046875,1900,2,0.28749999999999987,34858.939376831055,2375,1,0.28749999999999987,31023.38949584961,1900,2,0.28749999999999987,33883.364807128906,1900,2,0.28749999999999987,44439.063232421875,4750,0,0.28749999999999987,38678.309478759766,4750,0,0.28749999999999987,37011.572021484375,1900,2,0.28749999999999987,245419.08419799805,1935,2150,1936,4840,3240,400,400,1957,400,400,1327,1938,2788,1326,400,2151,0,14.285715103149414,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,100,0,0,0,0,32899801088,8589930496,8820023296,1825267712
199,1760877714906,29798.309661865234,1960.0000000000002,2,0.1499999999999999,42710.81024169922,1960.0000000000002,2,0.1499999999999999,34858.96620178223,2000,2,0.1499999999999999,31023.4034576416,2000,2,0.1499999999999999,33883.37371826172,2000,2,0.1499999999999999,44441.224182128906,5000,0,0.1499999999999999,38678.31658935547,5000,0,0.1499999999999999,37011.57940673828,2000,2,0.1499999999999999,245423.23052978516,1935,2150,1936,4840,3240,400,400,1957,400,400,1327,1938,2788,1326,400,2151,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,32899801088,8589930496,8820023296,1825267712
1,1760877715107,29798.333938598633,1300,2,0.86875,42710.86952209473,1300,2,0.86875,34858.99913024902,2166.666666666667,2,0.86875,31023.4207611084,1300,2,0.86875,33883.375732421875,1300,2,0.86875,44441.25491333008,1300,2,0.86875,38678.33142089844,1300,2,0.86875,37011.59294128418,3250,1,0.86875,245424.88194274902,1935,2150,1936,4840,3240,400,400,1957,400,400,1327,1938,2788,1326,400,2151,0,10,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,32899801088,8589930496,8820166656,1825267712
