Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877141004,29666.87857055664,1300,2,0.85,41687.670181274414,1300,2,0.85,34657.90087890625,1300,2,0.85,30888.667098999023,1300,2,0.85,33736.64776611328,1300,2,0.85,43124.54406738281,3250,1,0.85,38486.665924072266,1300,2,0.85,36841.480545043945,1300,2,0.73125,237704.54837036133,400,3369,4816,3041,1925,400,2140,1295,400,3074,1550,1926,1936,3422,1926,400,5.555555820465088,17.647058486938477,11.111111640930176,8.333333969116211,2.941176414489746,5.882352828979492,3.0303030014038086,11.111111640930176,8.571429252624512,2.941176414489746,8.823529243469238,13.88888931274414,11.764705657958984,5.882352828979492,5.714285850524902,8.571429252624512,32899801088,8589930496,8757448704,1825325056
199,1760877141004,29666.87971496582,3250,1,0.73125,41687.67092895508,3250,1,0.73125,34657.90089416504,1300,2,0.73125,30888.667114257813,1300,2,0.73125,33736.64779663086,3250,1,0.73125,43124.545989990234,3250,1,0.73125,38486.665939331055,1300,2,0.73125,36841.480560302734,3250,1,0.73125,237704.55702209473,400,3369,4816,3041,1925,400,2140,1295,400,3074,1550,1926,1936,3422,1926,400,5.555555820465088,17.647058486938477,11.111111640930176,8.333333969116211,2.941176414489746,5.882352828979492,3.0303030014038086,11.111111640930176,8.571429252624512,2.941176414489746,8.823529243469238,13.88888931274414,11.764705657958984,5.882352828979492,5.714285850524902,8.571429252624512,32899801088,8589930496,8757448704,1825325056
1,1760877141204,29667.165252685547,1333.3333333333335,2,0.86875,41688.24140930176,1333.3333333333335,2,0.86875,34658.20280456543,1333.3333333333335,2,0.86875,30888.96238708496,2400,1,0.86875,33736.95120239258,3250,2,0.86875,43124.86407470703,3250,1,0.86875,38486.96501159668,2166.666666666667,2,0.86875,36841.77896118164,3250,1,0.86875,237708.66766357422,400,3369,4816,3041,1925,400,2140,1295,400,3074,1550,1926,1936,3422,1926,400,26.3157901763916,35,28.571430206298828,30.000001907348633,30.000001907348633,28.571430206298828,28.571430206298828,30.000001907348633,28.571430206298828,31.81818199157715,28.571430206298828,36.842105865478516,30.000001907348633,28.571430206298828,30.000001907348633,28.571430206298828,32899801088,8589930496,8758157312,1825325056
