Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877006468,29639.414520263672,1300,2,0.74375,41440.45263671875,3250,1,0.74375,34615.04330444336,3250,1,0.74375,30861.09942626953,1300,2,0.74375,33705.154037475586,1300,2,0.74375,42898.70196533203,1300,2,0.74375,38445.49169921875,3250,1,0.74375,36805.119079589844,1300,2,0.74375,236061.77911376953,4625,400,1936,1911,2148,4850,1896,1936,400,400,2160,4859,400,400,400,1936,5.882352828979492,8.571429252624512,5.882352828979492,2.941176414489746,2.857142925262451,5.555555820465088,2.941176414489746,5.555555820465088,2.941176414489746,3.0303030014038086,2.941176414489746,3.0303030014038086,5.882352828979492,0,0,2.941176414489746,32899801088,8589930496,8731402240,1825325056
199,1760877006469,29639.415069580078,1300,2,0.7375,41440.45555114746,3250,1,0.7375,34615.04333496094,1300,2,0.7375,30861.09944152832,1300,2,0.7375,33705.15539550781,3250,1,0.7375,42898.70198059082,1300,2,0.7375,38445.49987792969,3250,1,0.7375,36805.11909484863,3250,1,0.7375,236061.80715942383,4625,400,1936,1911,2148,4850,1896,1936,400,400,2160,4859,400,400,400,1936,5.882352828979492,8.571429252624512,5.882352828979492,2.941176414489746,2.857142925262451,5.555555820465088,2.941176414489746,5.555555820465088,2.941176414489746,3.0303030014038086,2.941176414489746,3.0303030014038086,5.882352828979492,0,0,2.941176414489746,32899801088,8589930496,8730861568,1825325056
199,1760877006669,29639.763641357422,1920,2,0.26249999999999996,41440.858810424805,4800,0,0.26249999999999996,34615.4151763916,2400,1,0.26249999999999996,30861.436401367188,4800,0,0.26249999999999996,33705.542053222656,2400,1,0.26249999999999996,42900.42333984375,4800,0,0.26249999999999996,38445.87971496582,1920,2,0.26249999999999996,36805.458724975586,4800,0,0.26249999999999996,236067.98182678223,4625,400,1936,1911,2148,4850,1896,1936,400,400,2160,4859,400,400,400,1936,33.333335876464844,40,35,33.333335876464844,38.095237731933594,35,38.095237731933594,35,33.333335876464844,33.333335876464844,35,95.45454406738281,35,40.90909194946289,33.333335876464844,35,32899801088,8589930496,8730861568,1825325056
1,1760877006869,29639.81723022461,1300,2,0.9625,41440.97080993652,3250,1,0.9625,34615.525299072266,1300,2,0.9625,30861.502639770508,3250,1,0.9625,33705.62646484375,1300,2,0.9625,42901.25939941406,1300,2,0.9625,38445.92071533203,1300,2,0.9625,36805.49984741211,3250,1,0.9625,236071.2446899414,4625,400,1936,1911,2148,4850,1896,1936,400,400,2160,4859,400,400,400,1936,4.761904716491699,5,5,0,0,31.57894515991211,0,0,0,0,4.761904716491699,10.526315689086914,4.761904716491699,0,0,4.761904716491699,32899801088,8589930496,8706260992,1825325056
