Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760876912672,29618.180587768555,1300,2,0.85,41300.06298828125,3250,1,0.85,34584.117431640625,1300,2,0.85,30839.91162109375,1300,2,0.85,33680.61201477051,3250,1,0.85,42754.19192504883,3250,1,0.85,38414.67808532715,1300,2,0.85,36778.59812927246,1300,2,0.85,235009.24002075195,1410,2188,3551,2451,4802,400,2130,1835,1888,1295,400,4742,1983,400,1245,1396,5.555555820465088,8.333333969116211,8.333333969116211,5.555555820465088,2.857142925262451,2.857142925262451,5.555555820465088,2.857142925262451,2.857142925262451,7.894736289978027,5.405405521392822,8.571429252624512,5.555555820465088,2.777777910232544,5.555555820465088,8.108107566833496,32899801088,8589930496,8703901696,1825325056
200,1760876912672,29618.180786132813,2166.666666666667,2,0.7375,41300.06344604492,3250,1,0.7375,34584.117446899414,3250,1,0.7375,30839.91163635254,1300,2,0.7375,33680.612533569336,1300,2,0.7375,42754.193298339844,3250,1,0.7375,38414.67808532715,1300,2,0.7375,36778.598892211914,1300,2,0.7375,235009.24813842773,1410,2188,3551,2451,4802,400,2130,1835,1888,1295,400,4742,1983,400,1245,1396,5.555555820465088,8.333333969116211,8.333333969116211,5.555555820465088,2.857142925262451,2.857142925262451,5.555555820465088,2.857142925262451,2.857142925262451,7.894736289978027,5.405405521392822,8.571429252624512,5.555555820465088,2.777777910232544,5.555555820465088,8.108107566833496,32899801088,8589930496,8704647168,1825325056
1,1760876912873,29618.49415588379,1300,2,0.975,41300.58770751953,1300,2,0.975,34584.45379638672,1300,2,0.975,30840.218505859375,1300,2,0.88125,33681.00393676758,1300,2,0.88125,42754.533935546875,3250,1,0.88125,38414.987564086914,1300,2,0.88125,36778.91293334961,3250,1,0.88125,235013.1362915039,1410,2188,3551,2451,4802,400,2130,1835,1888,1295,400,4742,1983,400,1245,1396,30.000001907348633,30.000001907348633,25,30.000001907348633,28.571430206298828,28.571430206298828,26.3157901763916,33.333335876464844,30.000001907348633,26.3157901763916,35,30.000001907348633,25,30.000001907348633,30.000001907348633,25,32899801088,8589930496,8692424704,1825325056
