Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877853541,29829.156967163086,1300,2,0.73125,42994.72773742676,3250,1,0.73125,34906.53451538086,3250,1,0.73125,31055.434204101563,1300,2,0.73125,33918.40592956543,1300,2,0.73125,44679.51583862305,1300,2,0.73125,38725.07530212402,1300,2,0.73125,37052.342376708984,1300,2,0.73125,247207.45503234863,1261,1936,2151,1936,400,3246,1625,400,1138,1936,4841,1631,4797,3873,1936,1881,5.882352828979492,12.5,3.125,3.0303030014038086,5.882352828979492,3.125,6.060606002807617,3.0303030014038086,3.125,5.882352828979492,3.0303030014038086,3.125,3.125,6.060606002807617,3.125,3.125,32899801088,8589930496,8773996544,1825267712
199,1760877853541,29829.157028198242,1300,2,0.7375,42994.73992919922,3250,1,0.7375,34906.53741455078,3250,1,0.7375,31055.435302734375,3250,1,0.7375,33918.40594482422,1300,2,0.7375,44679.515853881836,3250,1,0.7375,38725.07531738281,1300,2,0.7375,37052.34239196777,1300,2,0.7375,247207.49224853516,1261,1936,2151,1936,400,3246,1625,400,1138,1936,4841,1631,4797,3873,1936,1881,5.882352828979492,12.5,3.125,3.0303030014038086,5.882352828979492,3.125,6.060606002807617,3.0303030014038086,3.125,5.882352828979492,3.0303030014038086,3.125,3.125,6.060606002807617,3.125,3.125,32899801088,8589930496,8776253440,1825267712
0,1760877853742,29829.164352416992,1930,2,0.86875,42996.188537597656,1930,2,0.86875,34906.58071899414,4825,0,0.86875,31055.480697631836,4825,0,0.86875,33918.417724609375,1930,2,0.86875,44679.60403442383,4825,0,0.86875,38725.10975646973,1930,2,0.86875,37052.380798339844,1930,2,0.86875,247211.27702331543,1261,1936,2151,1936,400,3246,1625,400,1138,1936,4841,1631,4797,3873,1936,1881,0,95.23809814453125,4.761904716491699,0,0,9.090909004211426,0,0,0,0,0,0,0,0,0,0,32899801088,8589930496,8825827328,1825267712
