Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760878010897,29866.975494384766,1300,2,0.85625,43345.520095825195,1300,2,0.85625,34964.665466308594,1300,2,0.85625,31093.12547302246,1300,2,0.85625,33962.58531188965,1300,2,0.85625,44976.27305603027,1300,2,0.85625,38777.973388671875,3250,1,0.85625,37100.90272521973,1300,2,0.85625,249380.6312866211,400,3243,400,3649,400,1964,2668,400,1944,1297,1460,400,1986,2087,3433,2151,8.571429252624512,11.764705657958984,5.714285850524902,8.571429252624512,8.823529243469238,17.142858505249023,14.285715103149414,12.121212005615234,17.142858505249023,11.428571701049805,12.121212005615234,5.882352828979492,11.764705657958984,8.823529243469238,8.823529243469238,11.428571701049805,32899801088,8589930496,8816295936,1825267712
199,1760878010897,29866.975524902344,1300,2,0.74375,43345.520095825195,3250,1,0.74375,34964.66548156738,3250,1,0.74375,31093.125534057617,1300,2,0.74375,33962.58532714844,1300,2,0.74375,44976.27307128906,1300,2,0.74375,38777.97526550293,3250,1,0.74375,37100.902755737305,1300,2,0.74375,249380.64015197754,400,3243,400,3649,400,1964,2668,400,1944,1297,1460,400,1986,2087,3433,2151,8.571429252624512,11.764705657958984,5.714285850524902,8.571429252624512,8.823529243469238,17.142858505249023,14.285715103149414,12.121212005615234,17.142858505249023,11.428571701049805,12.121212005615234,5.882352828979492,11.764705657958984,8.823529243469238,8.823529243469238,11.428571701049805,32899801088,8589930496,8816668672,1825267712
200,1760878011097,29867.063018798828,4800,0,0.26875000000000004,43346.998306274414,4800,0,0.26875000000000004,34964.83883666992,2400,1,0.26875000000000004,31093.13507080078,1920,2,0.26875000000000004,33962.591247558594,1920,2,0.26875000000000004,44976.40379333496,1920,2,0.26875000000000004,38778.03775024414,2400,1,0.26875000000000004,37100.96040344238,2400,1,0.26875000000000004,249384.98359680176,400,3243,400,3649,400,1964,2668,400,1944,1297,1460,400,1986,2087,3433,2151,0,90,0,0,0,5.263157844543457,0,0,9.523809432983398,0,0,0,0,4.761904716491699,0,0,32899801088,8589930496,8849096704,1825267712
1,1760878011298,29867.09747314453,3250,1,0.89375,43347.869689941406,1300,2,0.89375,34964.88787841797,1300,2,0.89375,31093.166427612305,3250,1,0.89375,33962.594314575195,1300,2,0.89375,44976.44380187988,3250,1,0.89375,38778.0809173584,3250,1,0.89375,37100.989837646484,3250,1,0.89375,249387.97993469238,400,3243,400,3649,400,1964,2668,400,1944,1297,1460,400,1986,2087,3433,2151,0,52.38095474243164,0,0,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,32899801088,8589930496,8835620864,1825267712
