Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760878089163,29885.310745239258,1300,2,0.85,43439.86795043945,3250,1,0.85,34991.180603027344,1300,2,0.85,31111.069580078125,1300,2,0.85,33983.302185058594,1300,2,0.85,45140.729888916016,1300,2,0.85,38804.09112548828,1300,2,0.85,37122.440200805664,3250,2,0.85,250315.27445983887,400,400,4723,2130,1652,757,1221,2573,2397,1098,1924,4493,2134,4816,2550,4774,5.714285850524902,5.882352828979492,3.0303030014038086,5.882352828979492,5.714285850524902,5.882352828979492,5.882352828979492,2.941176414489746,3.0303030014038086,3.0303030014038086,12.121212005615234,3.0303030014038086,3.125,2.941176414489746,3.0303030014038086,5.882352828979492,32899801088,8589930496,8809889792,1825267712
199,1760878089163,29885.31135559082,3250,1,0.73125,43439.86929321289,3250,1,0.73125,34991.18147277832,3250,1,0.73125,31111.069595336914,1300,2,0.73125,33983.30223083496,1300,2,0.73125,45140.729888916016,1300,2,0.73125,38804.09112548828,1300,2,0.73125,37122.44021606445,3250,1,0.73125,250315.28114318848,400,400,4723,2130,1652,757,1221,2573,2397,1098,1924,4493,2134,4816,2550,4774,5.714285850524902,5.882352828979492,3.0303030014038086,5.882352828979492,5.714285850524902,5.882352828979492,5.882352828979492,2.941176414489746,3.0303030014038086,3.0303030014038086,12.121212005615234,3.0303030014038086,3.125,2.941176414489746,3.0303030014038086,5.882352828979492,32899801088,8589930496,8809889792,1825267712
199,1760878089363,29885.67283630371,1930,2,0.26249999999999996,43441.07824707031,4825,0,0.26249999999999996,34992.036193847656,2144.4444444444443,2,0.26249999999999996,31111.48161315918,2144.4444444444443,2,0.26249999999999996,33983.69969177246,2144.4444444444443,2,0.26249999999999996,45141.10269165039,2144.4444444444443,2,0.26249999999999996,38804.55561828613,2144.4444444444443,2,0.26249999999999996,37122.93310546875,1930,2,0.26249999999999996,250322.74661254883,400,400,4723,2130,1652,757,1221,2573,2397,1098,1924,4493,2134,4816,2550,4774,38.095237731933594,80.95238494873047,35,35,35,35,35,38.095237731933594,52.38095474243164,35,35,38.095237731933594,40.90909194946289,40,35,40,32899801088,8589930496,8856784896,1825267712
1,1760878089563,29885.68797302246,1300,2,0.7375,43441.97219848633,3250,1,0.7375,34992.07791137695,1300,2,0.7375,31111.50894165039,1300,2,0.7375,33983.74952697754,1300,2,0.7375,45141.15365600586,1300,2,0.7375,38804.62698364258,1300,2,0.7375,37122.990814208984,1300,2,0.7375,250325.52223205566,400,400,4723,2130,1652,757,1221,2573,2397,1098,1924,4493,2134,4816,2550,4774,5,10.526315689086914,0,0,0,0,0,0,0,0,0,0,5,5,0,40,32899801088,8589930496,8828030976,1825267712
