Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760877814359,29820.7234954834,1300,2,0.7375,42917.52722167969,3250,1,0.7375,34893.809661865234,1300,2,0.7375,31046.7491607666,1300,2,0.7375,33908.92460632324,1300,2,0.7375,44609.97621154785,1300,2,0.7375,38711.94004821777,1300,2,0.7375,37041.24284362793,1300,2,0.7375,246701.47200012207,571,1926,1439,4815,1390,1080,400,400,4815,400,2140,2137,1589,1541,1611,2161,2.4390242099761963,6.976744651794434,2.4390242099761963,2.3809523582458496,2.3809523582458496,4.761904716491699,4.761904716491699,4.651162624359131,2.4390242099761963,2.3809523582458496,4.761904716491699,7.142857551574707,6.976744651794434,0,4.651162624359131,0,32899801088,8589930496,8786321408,1825267712
199,1760877814359,29820.727081298828,1300,2,0.73125,42917.52894592285,3250,1,0.73125,34893.80967712402,1300,2,0.73125,31046.74917602539,1300,2,0.73125,33908.92465209961,3250,1,0.73125,44609.97622680664,1300,2,0.73125,38711.94006347656,3250,1,0.73125,37041.24285888672,1300,2,0.73125,246701.488571167,571,1926,1439,4815,1390,1080,400,400,4815,400,2140,2137,1589,1541,1611,2161,2.4390242099761963,6.976744651794434,2.4390242099761963,2.3809523582458496,2.3809523582458496,4.761904716491699,4.761904716491699,4.651162624359131,2.4390242099761963,2.3809523582458496,4.761904716491699,7.142857551574707,6.976744651794434,0,4.651162624359131,0,32899801088,8589930496,8787066880,1825267712
199,1760877814560,29820.767517089844,1910.0000000000002,2,0.26875000000000004,42918.13066101074,1910.0000000000002,2,0.26875000000000004,34893.889389038086,1910.0000000000002,2,0.26875000000000004,31046.86148071289,1910.0000000000002,2,0.26875000000000004,33909.014419555664,1910.0000000000002,2,0.2749999999999999,44610.87185668945,4775,0,0.2749999999999999,38712.2389831543,4775,0,0.2749999999999999,37041.324157714844,1910.0000000000002,2,0.2749999999999999,246706.50918579102,571,1926,1439,4815,1390,1080,400,400,4815,400,2140,2137,1589,1541,1611,2161,0,35,0,0,0,0,5,0,0,5,0,52.6315803527832,10,4.761904716491699,0,5,32899801088,8589930496,8817602560,1825267712
1,1760877814760,29820.793655395508,1300,2,0.99375,42918.18145751953,3250,1,0.99375,34893.91760253906,1300,2,0.99375,31046.868392944336,1300,2,0.99375,33909.031188964844,1300,2,0.99375,44611.996505737305,1300,2,0.99375,38712.27404785156,3250,1,0.99375,37041.334243774414,1300,2,0.99375,246709.42427062988,571,1926,1439,4815,1390,1080,400,400,4815,400,2140,2137,1589,1541,1611,2161,0,4.761904716491699,0,0,0,0,0,0,0,0,0,63.6363639831543,0,0,0,0,32899801088,8589930496,8813809664,1825267712
